,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
250,251,603001,奥康国际,6.77,1.2,0.08,23572.0,16017849.0,2.24,6.85,6.7,6.71,6.69,1.38,0.59,-15.36,0.85,2714634600.0,2714634600.0,-0.15,0.0,4.31,5.29
251,252,600250,南纺股份,5.94,1.19,0.07,48200.0,28781368.0,2.73,6.04,5.88,5.89,5.87,1.12,1.7,-15.79,3.88,1844927641.0,1687684918.0,0.34,-0.17,5.88,1.89
252,253,600178,东安动力,6.83,1.19,0.08,45029.0,30804093.0,1.48,6.89,6.79,6.79,6.75,1.17,0.97,22.65,1.26,3247617873.0,3156006400.0,0.0,0.29,3.48,13.08
253,254,603958,哈森股份,6.85,1.18,0.08,24699.0,17034526.0,5.02,7.12,6.78,6.78,6.77,1.7,1.13,-11.06,1.77,1516316000.0,1502616000.0,-0.29,-0.29,2.09,6.2
254,255,600777,新潮能源,2.57,1.18,0.03,1663643.0,429125715.0,2.36,2.61,2.55,2.57,2.54,0.75,2.61,4.96,1.02,17477274270.0,16361011645.0,0.0,0.0,3.63,17.89
255,256,600031,三一重工,18.03,1.18,0.21,1210902.0,2197090571.0,2.92,18.33,17.81,17.81,17.82,0.76,1.43,31.9,2.37,153013435629.0,152609811541.0,0.0,0.0,14.77,14.11
256,257,603609,禾丰股份,12.04,1.18,0.14,61701.0,74676206.0,2.44,12.19,11.9,11.95,11.9,0.93,0.67,23.74,1.63,11069942618.0,11069942618.0,-0.08,0.0,-14.0,1.69
257,258,603586,金麒麟,15.48,1.18,0.18,19456.0,30175392.0,2.75,15.75,15.33,15.39,15.3,1.06,0.99,18.09,1.42,3034897034.0,3034897034.0,-0.26,-0.26,7.13,17.45
258,259,600232,金鹰股份,6.03,1.17,0.07,39850.0,24111269.0,2.68,6.12,5.96,5.96,5.96,1.03,1.09,35.42,2.13,2199252820.0,2199252820.0,0.33,0.0,1.69,10.44
259,260,600818,中路股份,28.08,1.15,0.32,16219.0,45256474.0,1.87,28.12,27.6,27.76,27.76,0.8,0.68,258.87,13.11,9026257313.0,6681858113.0,-0.07,0.07,-16.4,3.16
260,261,600455,博通股份,24.57,1.15,0.28,22330.0,55023637.0,5.19,25.31,24.05,24.05,24.29,1.62,3.58,57.97,6.57,1534593060.0,1534593060.0,0.41,0.57,12.35,11.08
261,262,603021,山东华鹏,6.22,1.14,0.07,48807.0,30369909.0,2.28,6.26,6.12,6.13,6.15,0.89,1.53,-10.37,2.62,1990076995.0,1990076995.0,0.32,0.0,-5.61,4.01
262,263,601600,中国铝业,5.34,1.14,0.06,1038339.0,560347631.0,3.22,5.46,5.29,5.31,5.28,1.02,0.79,15.05,1.57,91642898882.0,69840295289.0,0.0,0.19,22.48,19.46
263,264,601089,福元医药,16.1,1.13,0.18,34580.0,55665438.0,1.63,16.17,15.91,15.92,15.92,1.08,2.88,17.49,2.52,7728000000.0,1932000000.0,0.06,0.06,-6.07,5.02
264,265,600193,创兴资源,6.27,1.13,0.07,59607.0,36851722.0,3.55,6.27,6.05,6.21,6.2,0.67,1.4,253.96,8.3,2667088710.0,2667088710.0,0.48,1.13,-13.52,6.63
265,266,600903,贵州燃气,8.09,1.13,0.09,58072.0,46874509.0,2.63,8.18,7.97,8.03,8.0,1.21,0.51,-67.42,3.47,9208513757.0,9208513757.0,0.0,0.12,0.62,4.39
266,267,600792,云煤能源,3.61,1.12,0.04,61607.0,22209678.0,2.52,3.64,3.55,3.56,3.57,1.2,0.62,-28.13,1.09,3573624196.0,3573624196.0,-0.28,0.0,-2.43,4.03
267,268,603168,莎普爱思,8.17,1.11,0.09,26958.0,22004817.0,1.98,8.21,8.05,8.07,8.08,0.97,0.84,50.43,1.78,3043439421.0,2635580717.0,0.0,0.12,-3.88,-10.42
268,269,603600,永艺股份,10.91,1.11,0.12,29116.0,31847674.0,2.22,11.05,10.81,10.88,10.79,0.85,0.96,8.69,1.92,3300412902.0,3300412902.0,0.0,-0.09,0.37,11.9
269,270,600351,亚宝药业,6.41,1.1,0.07,138325.0,88631829.0,1.74,6.45,6.34,6.34,6.34,0.97,1.8,34.65,1.66,4935700147.0,4935700147.0,0.0,0.16,-7.9,9.01
270,271,600486,扬农化工,107.0,1.1,1.16,10713.0,114244976.0,2.01,107.29,105.16,105.47,105.84,1.1,0.35,15.18,3.95,33159183049.0,33159183049.0,-0.04,-0.01,3.04,2.98
271,272,600459,贵研铂业,16.62,1.09,0.18,82007.0,136990014.0,2.74,16.95,16.5,16.51,16.44,0.75,1.11,29.18,2.17,12648943346.0,12281036960.0,-0.12,-0.12,12.37,5.59
272,273,600184,光电股份,12.98,1.09,0.14,51814.0,66971665.0,2.41,13.05,12.74,12.86,12.84,1.1,1.02,97.03,2.67,6603715521.0,6603715521.0,0.0,-0.08,8.35,15.89
273,274,603110,东方材料,36.25,1.09,0.39,6613.0,23996071.0,2.29,36.62,35.8,35.86,35.86,0.44,0.33,356.77,11.01,7294469035.0,7294469035.0,0.0,0.03,7.06,6.87
274,275,600202,哈空调,5.58,1.09,0.06,71259.0,40018805.0,2.17,5.68,5.56,5.61,5.52,1.18,1.86,44.9,2.65,2139040950.0,2139040950.0,-0.18,-0.18,7.72,10.93
275,276,603696,安记食品,10.25,1.08,0.11,43833.0,45356200.0,2.76,10.45,10.17,10.17,10.14,1.03,1.86,111.97,4.47,2410800000.0,2410800000.0,-0.19,-0.1,5.78,-5.27
276,277,601003,柳钢股份,3.73,1.08,0.04,137208.0,51296104.0,3.25,3.79,3.67,3.68,3.69,1.01,0.54,-2.77,1.0,9559218636.0,9559218636.0,0.0,0.0,1.91,-0.27
277,278,603716,塞力医疗,11.23,1.08,0.12,79862.0,89526136.0,2.88,11.3,10.98,10.98,11.11,1.62,3.97,-341.84,1.58,2285497157.0,2260861164.0,0.0,0.36,-12.13,1.72
278,279,603298,杭叉集团,21.54,1.08,0.23,60161.0,130575601.0,4.83,22.18,21.15,21.4,21.31,0.68,0.69,18.75,3.18,18662198639.0,18662198639.0,0.0,0.09,13.73,28.14
279,280,600281,华阳新材,4.69,1.08,0.05,30257.0,14224041.0,2.59,4.76,4.64,4.64,4.64,0.94,0.59,-770.69,5.03,2412545497.0,2412545497.0,0.0,0.0,-3.1,5.87
280,281,688161,威高骨科,67.61,1.08,0.72,6616.0,45085430.0,4.34,69.45,66.55,66.99,66.89,0.68,0.88,45.86,5.67,27044000000.0,5071434484.0,0.01,0.01,13.06,29.55
281,282,603639,海利尔,25.54,1.07,0.27,21269.0,53989224.0,2.61,25.74,25.08,25.28,25.27,1.1,0.64,15.14,2.73,8689485591.0,8545573310.0,-0.04,0.12,-7.73,0.0
282,283,603866,桃李面包,16.12,1.07,0.17,96526.0,156522931.0,4.26,16.53,15.85,15.88,15.95,1.07,0.72,33.16,4.27,21489560652.0,21489560652.0,-0.06,0.19,16.56,4.68
283,284,603686,福龙马,11.39,1.06,0.12,195935.0,224494354.0,4.61,11.74,11.22,11.34,11.27,0.63,4.71,17.08,1.51,4734318844.0,4734318844.0,-0.09,0.0,22.6,31.98
